Video ID,Bitrate,Codec Type,Quality Type
7462307601901047073,737771,h265_hvc1,28
7412186556989033729,566617,h265_hvc1,14
7412186556989033729,547903,h264,24
7412186556989033729,409529,h265_hvc1,28
7412186556989033729,390740,h264,25
7327940467155275014,2617237,h264,20
7327940467155275014,2163100,h265_hvc1,2
7327940467155275014,1331636,h264,24
7327940467155275014,1140108,h265_hvc1,14
7327940467155275014,758381,h265_hvc1,28
7441703681835289887,655800,h264,20
7441703681835289887,606050,h265_hvc1,14
7441703681835289887,436975,h265_hvc1,28
7466462302942874912,1894019,h264,20
7466462302942874912,919007,h265_hvc1,14
7466462302942874912,878270,h264,24
7466462302942874912,650524,h265_hvc1,28
7308084747492740384,1941341,h264,20
7308084747492740384,1728312,h265_hvc1,14
7308084747492740384,1346490,h265_hvc1,28
7308084747492740384,1133962,h264,24
7131946697462271275,1657808,h264,20
7131946697462271275,632585,h264,25
7441370619251412244,1209272,h264,20
7441370619251412244,882621,h265_hvc1,2
7441370619251412244,707084,h264,24
7441370619251412244,582907,h265_hvc1,14
7441370619251412244,427841,h265_hvc1,28
7366856943140457735,354433,h265_hvc1,2
7366856943140457735,229016,h264,20
7366856943140457735,215989,h265_hvc1,14
7366856943140457735,184133,h265_hvc1,28
7430213436157496594,974258,h264,20
7430213436157496594,436780,h265_hvc1,14
7430213436157496594,377671,h265_hvc1,28
7430420049283861778,1473814,h264,20
7430420049283861778,1011886,h265_hvc1,2
7430420049283861778,673408,h265_hvc1,14
7430420049283861778,566883,h265_hvc1,28
7430193228369988897,1003353,h264,20
7430193228369988897,611972,h264,24
7430193228369988897,506606,h265_hvc1,14
7430193228369988897,424928,h265_hvc1,28
7458712317379808518,2053684,h264,20
7458712317379808518,1446591,h265_hvc1,14
7458712317379808518,1172074,h265_hvc1,28
7458712317379808518,891916,h264,25
7145416891908001051,122047,h264,20
7145416891908001051,120487,h265_hvc1,28
7145416891908001051,93507,h264,24
7145416891908001051,82642,h264,25
7292127898796838176,1933353,h264,20
7292127898796838176,1304929,h265_hvc1,14
7292127898796838176,1048593,h264,24
7292127898796838176,981824,h265_hvc1,28
7183943514525388038,1256517,h264,20
7183943514525388038,977070,h265_hvc1,2
7183943514525388038,730330,h264,24
7183943514525388038,597816,h265_hvc1,14
7183943514525388038,495028,h265_hvc1,28
7345044612429499666,1415848,h264,10
7345044612429499666,1019403,h265_hvc1,2
7345044612429499666,536624,h265_hvc1,14
7345044612429499666,373537,h265_hvc1,28
7431147417539562753,1943330,h264,20
7431147417539562753,1832506,h265_hvc1,2
7431147417539562753,736885,h265_hvc1,14
7431147417539562753,602905,h265_hvc1,28
7456724873084226834,1921943,h264,20
7456724873084226834,1852189,h265_hvc1,2
7456724873084226834,1073698,h265_hvc1,14
7456724873084226834,857517,h265_hvc1,28
7348515358237625608,1086868,h265_hvc1,2
7348515358237625608,1007151,h264,20
7348515358237625608,605898,h265_hvc1,14
7348515358237625608,517837,h265_hvc1,28
7459185058595835168,1418218,h264,20
7459185058595835168,843083,h264,24
7459185058595835168,831172,h265_hvc1,14
7459185058595835168,652380,h265_hvc1,28
7434910440771095816,2342387,h264,20
7434910440771095816,2132526,h265_hvc1,2
7434910440771095816,913977,h265_hvc1,14
7434910440771095816,828332,h265_hvc1,28
7444165923818327303,396203,h265_hvc1,2
7444165923818327303,232824,h265_hvc1,14
7444165923818327303,208627,h264,20
7444165923818327303,163171,h265_hvc1,28
7444165923818327303,122404,h264,25
7419313856138186016,1714681,h264,20
7419313856138186016,1311879,h265_hvc1,2
7419313856138186016,899994,h264,24
