video_path,duration_seconds,subtitle_text
data/raw/videos\socola\qhd1210_7429749179737492754.mp4,0,No subtitles found
data/raw/videos\socola\quynhstore96_7450907831915629841.mp4,0,No subtitles found
data/raw/videos\socola\quynhtrang959595_7443032978000727304.mp4,0,No subtitles found
data/raw/videos\socola\reviewnhanhchong_7448220458203237640.mp4,0,No subtitles found
data/raw/videos\socola\sieuthihangmygiatot_7432708035165932807.mp4,0,No subtitles found
data/raw/videos\socola\socolahandmade88_7455318329377557761.mp4,0,No subtitles found
data/raw/videos\socola\taibakery_7197304764579794202.mp4,0,No subtitles found
data/raw/videos\socola\thanhtuyendaily_7372176364985781512.mp4,0,No subtitles found
data/raw/videos\socola\thanhtuyendaily_7383993787669875986.mp4,0,No subtitles found
data/raw/videos\socola\thihanhriviu_7431490311936937224.mp4,0,No subtitles found
data/raw/videos\socola\thu.cuc.91_7443683991221292295.mp4,0,No subtitles found
data/raw/videos\socola\tiemcafemoon_7328400487915556098.mp4,0,No subtitles found
data/raw/videos\socola\tienbeu.hp_7455267452629339398.mp4,0,No subtitles found
data/raw/videos\socola\tunauan68_7449287885624216840.mp4,0,No subtitles found
data/raw/videos\socola\vietphuongthoa98_7413369539485764871.mp4,0,No subtitles found
data/raw/videos\socola\vocphamhn_7462287158070545682.mp4,0,No subtitles found
data/raw/videos\socola\_leehvi__7445530363377552658.mp4,0,No subtitles found
data/raw/videos\streetfood\agi_store_7461887179145350408.mp4,0,No subtitles found
data/raw/videos\streetfood\asianstreetfood98_7384866126414482705.mp4,0,No subtitles found
data/raw/videos\streetfood\asianstreetfoodking_7410126881011289362.mp4,0,No subtitles found
data/raw/videos\streetfood\bellymind_7051843291171638554.mp4,0,No subtitles found
data/raw/videos\streetfood\benux.edit_7444532158594600234.mp4,0,No subtitles found
data/raw/videos\streetfood\biteswithlily_7305757699386461441.mp4,0,No subtitles found
data/raw/videos\streetfood\di_anvat_7434140116475514130.mp4,0,No subtitles found
data/raw/videos\streetfood\foodblogger.wei_7362291384331767086.mp4,0,No subtitles found
data/raw/videos\streetfood\fooddilex5_7413730185197014292.mp4,0,No subtitles found
data/raw/videos\streetfood\foodie.cam_7457035514609175826.mp4,0,No subtitles found
data/raw/videos\streetfood\food_do_eat003_7355921574966463776.mp4,0,No subtitles found
data/raw/videos\streetfood\forkspoonmanila_6804758549239975169.mp4,0,No subtitles found
data/raw/videos\streetfood\funkychips01_7354370418590879009.mp4,0,No subtitles found
data/raw/videos\streetfood\jessefoods1_7269324492843928875.mp4,0,No subtitles found
data/raw/videos\streetfood\kimdungbuii_7436001893047913735.mp4,0,No subtitles found
data/raw/videos\streetfood\kosnio_7361036505529240849.mp4,0,No subtitles found
data/raw/videos\streetfood\kpfooddiariesunofficial_7434153927924354337.mp4,0,No subtitles found
data/raw/videos\streetfood\lillyssnook_7451290536129957153.mp4,0,No subtitles found
data/raw/videos\streetfood\magnetic.bell_7377367234764623120.mp4,0,No subtitles found
